2025-08-27 02:02:25 | INFO | [TEST] test_module: Testing action logger integration | Reasoning: Verifying that the action logging system works correctly | Outcome: Success
2025-08-27 02:02:25 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to test_model | Reasoning: Test routing decision | Outcome: Success
2025-08-27 02:02:36 | INFO | [SYSTEM_TEST] test_system: Testing timing and retrieval | Reasoning: Ensuring actions are properly stored and retrievable | Outcome: Success
2025-08-27 02:03:27 | INFO | [TEST] test_system: System test | Reasoning: Testing core functionality | Outcome: Success
2025-08-27 02:03:30 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to model | Reasoning: decision | Outcome: Success
2025-08-27 02:03:30 | WARNING | [FALLBACK] ai_router_gpt: Fallback from m1 to m2 | Reasoning: fallback test | Outcome: Attempt 1
2025-08-27 02:03:30 | INFO | [RATE_LIMITING] ai_router_gpt: allowed | Reasoning: test rate limit
2025-08-27 02:03:30 | INFO | [SERVER_MGMT] server_manager: start test_srv | Reasoning: server test | Outcome: Success
2025-08-27 02:14:53 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 02:14:57 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 02:17:25 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 02:17:30 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 05:04:01 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 05:04:11 | INFO | [SERVER_MGMT] server_manager: start lm_studio | Reasoning: Service LM Studio Server was already running on port 1234 | Outcome: Success - Already running
2025-08-27 05:04:11 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Starting ComfyUI Image Generation on port 8188 as requested by AI or user | Outcome: Starting...
2025-08-27 05:04:11 | ERROR | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Exception occurred while starting service: name 'shlex' is not defined | Outcome: Failed - Exception: NameError
2025-08-27 05:04:11 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Service n8n Workflow Automation was already running on port 5678 | Outcome: Success - Already running
2025-08-27 05:04:11 | INFO | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Starting Open Notebook AI Interface on port 8502 as requested by AI or user | Outcome: Starting...
2025-08-27 05:04:11 | ERROR | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Exception occurred while starting service: name 'shlex' is not defined | Outcome: Failed - Exception: NameError
2025-08-27 05:04:11 | INFO | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Starting Jupyter Notebook Server on port 8889 as requested by AI or user | Outcome: Starting...
2025-08-27 05:04:11 | ERROR | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Exception occurred while starting service: name 'shlex' is not defined | Outcome: Failed - Exception: NameError
2025-08-27 05:04:11 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Starting DuckBot Professional WebUI on port 8787 as requested by AI or user | Outcome: Starting...
